aimmark,mark_id,user_id,marktype_config_id,duration,mean_duration,mode_duration,median_duration,stdev_duration,iqrdev_duration,devmean_duration,devmode_duration,devmedian_duration
https://sq2.go.mail.ru/manager/aimmark/view/143952421,154332807,1833,154,25,64.827,12,23.0,180.648,15.0,-39.827,13,2.0
https://sq2.go.mail.ru/manager/aimmark/view/143952414,154332788,8,154,38,64.827,12,23.0,180.648,15.0,-26.827,26,15.0
https://sq2.go.mail.ru/manager/aimmark/view/143952020,154332798,1833,154,19,64.827,12,23.0,180.648,15.0,-45.827,7,-4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952221,154332789,1487,154,26,64.827,12,23.0,180.648,15.0,-38.827,14,3.0
https://sq2.go.mail.ru/manager/aimmark/view/143952244,154332777,8,154,27,64.827,12,23.0,180.648,15.0,-37.827,15,4.0
https://sq2.go.mail.ru/manager/aimmark/view/143952375,154332791,1833,154,13,64.827,12,23.0,180.648,15.0,-51.827,1,-10.0
https://sq2.go.mail.ru/manager/aimmark/view/143952317,154332787,1487,154,12,64.827,12,23.0,180.648,15.0,-52.827,0,-11.0
https://sq2.go.mail.ru/manager/aimmark/view/143952370,154332784,1833,154,14,64.827,12,23.0,180.648,15.0,-50.827,2,-9.0
https://sq2.go.mail.ru/manager/aimmark/view/143952338,154332771,1833,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143952190,154332772,8,154,14,64.827,12,23.0,180.648,15.0,-50.827,2,-9.0
https://sq2.go.mail.ru/manager/aimmark/view/143952417,154332758,1833,154,24,64.827,12,23.0,180.648,15.0,-40.827,12,1.0
https://sq2.go.mail.ru/manager/aimmark/view/143952136,154332769,8,154,8,64.827,12,23.0,180.648,15.0,-56.827,-4,-15.0
https://sq2.go.mail.ru/manager/aimmark/view/143952415,154332756,8,154,18,64.827,12,23.0,180.648,15.0,-46.827,6,-5.0
https://sq2.go.mail.ru/manager/aimmark/view/143952241,154332752,8,154,22,64.827,12,23.0,180.648,15.0,-42.827,10,-1.0
https://sq2.go.mail.ru/manager/aimmark/view/143952344,154332733,1833,154,36,64.827,12,23.0,180.648,15.0,-28.827,24,13.0
https://sq2.go.mail.ru/manager/aimmark/view/143952418,154332743,8,154,16,64.827,12,23.0,180.648,15.0,-48.827,4,-7.0
https://sq2.go.mail.ru/manager/aimmark/view/143952419,154332740,8,154,13,64.827,12,23.0,180.648,15.0,-51.827,1,-10.0
https://sq2.go.mail.ru/manager/aimmark/view/143952191,154332728,8,154,17,64.827,12,23.0,180.648,15.0,-47.827,5,-6.0
